ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
imeglimin,metformin,Moderate,Increased risk of hypoglycemia and gastrointestinal side effects.,Both drugs are biguanides that reduce hepatic glucose production and increase insulin sensitivity.,"Monitor blood glucose closely, consider dose adjustment or separation of administration.",1,2026-05-13
imeglimin,insulin,Moderate,Increased risk of hypoglycemia.,"Imeglimin enhances insulin secretion and sensitivity, potentiating the effect of exogenous insulin.",Monitor blood glucose closely and adjust insulin dose as needed.,1,2026-05-13
penicillin g,,,,,,1,2026-05-13
pefloxacin,warfarin,Major,Increased risk of bleeding.,"Pefloxacin can inhibit the metabolism of warfarin, leading to higher international normalized ratios (INRs).",Monitor INR closely and adjust warfarin dose if necessary; consider alternative antibiotic if possible.,1,2026-05-13
pefloxacin,metronidazole,Moderate,Increased risk of central nervous system adverse effects.,"Both drugs can cause CNS side effects, and their combination may be additive.","Monitor for CNS symptoms like dizziness, confusion, and seizures.",1,2026-05-13
pefloxacin,ciprofloxacin,Moderate,Increased risk of QT prolongation and arrhythmias.,Both are fluoroquinolones with a potential for QT interval prolongation.,Avoid concurrent use or monitor ECG if necessary.,1,2026-05-13
enclomiphene,,,,,,1,2026-05-13
clobetasone,prednisolone,Moderate,Increased risk of adrenal suppression and side effects of topical corticosteroids.,Concurrent use of potent topical corticosteroids and systemic corticosteroids can lead to increased systemic absorption and suppression of the hypothalamic-pituitary-adrenal (HPA) axis.,"Use with caution, monitor for signs of adrenal suppression and systemic corticosteroid side effects.",1,2026-05-13
clobetasone,dexamethasone,Moderate,Increased risk of adrenal suppression and side effects of topical corticosteroids.,Concurrent use of potent topical corticosteroids and systemic corticosteroids can lead to increased systemic absorption and suppression of the hypothalamic-pituitary-adrenal (HPA) axis.,"Use with caution, monitor for signs of adrenal suppression and systemic corticosteroid side effects.",1,2026-05-13
tenofovir alafenamide,rifampicin,Moderate,Decreased plasma concentrations of tenofovir alafenamide.,"Rifampicin is a strong inducer of P-glycoprotein and other transporters, which can increase the clearance of tenofovir alafenamide.",Consider alternative to rifampicin or monitor viral load more closely.,1,2026-05-13
astaxanthin,,,,,,1,2026-05-13
charcoal,warfarin,Major,Reduced absorption and efficacy of warfarin.,"Activated charcoal binds to warfarin in the gastrointestinal tract, preventing its absorption.",Separate administration by at least 2-3 hours; monitor INR closely.,1,2026-05-13
charcoal,aspirin,Moderate,Reduced absorption of aspirin.,Activated charcoal can adsorb aspirin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,ibuprofen,Moderate,Reduced absorption of ibuprofen.,Activated charcoal can adsorb ibuprofen in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,atorvastatin,Moderate,Reduced absorption of atorvastatin.,Activated charcoal can adsorb atorvastatin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,amlodipine,Moderate,Reduced absorption of amlodipine.,Activated charcoal can adsorb amlodipine in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,losartan,Moderate,Reduced absorption of losartan.,Activated charcoal can adsorb losartan in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,omeprazole,Moderate,Reduced absorption of omeprazole.,Activated charcoal can adsorb omeprazole in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,pantoprazole,Moderate,Reduced absorption of pantoprazole.,Activated charcoal can adsorb pantoprazole in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,metformin,Moderate,Reduced absorption of metformin.,Activated charcoal can adsorb metformin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,amoxicillin,Moderate,Reduced absorption of amoxicillin.,Activated charcoal can adsorb amoxicillin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,azithromycin,Moderate,Reduced absorption of azithromycin.,Activated charcoal can adsorb azithromycin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,ciprofloxacin,Moderate,Reduced absorption of ciprofloxacin.,Activated charcoal can adsorb ciprofloxacin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,metronidazole,Moderate,Reduced absorption of metronidazole.,Activated charcoal can adsorb metronidazole in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,insulin,Minor,Potentially reduced absorption of oral hypoglycemics if taken concurrently.,"Activated charcoal can bind to oral medications, potentially reducing their absorption.",Separate administration by at least 2 hours from oral medications.,1,2026-05-13
charcoal,digoxin,Moderate,Reduced absorption of digoxin.,Activated charcoal can adsorb digoxin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,furosemide,Moderate,Reduced absorption of furosemide.,Activated charcoal can adsorb furosemide in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,spironolactone,Moderate,Reduced absorption of spironolactone.,Activated charcoal can adsorb spironolactone in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,atenolol,Moderate,Reduced absorption of atenolol.,Activated charcoal can adsorb atenolol in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,metoprolol,Moderate,Reduced absorption of metoprolol.,Activated charcoal can adsorb metoprolol in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,ramipril,Moderate,Reduced absorption of ramipril.,Activated charcoal can adsorb ramipril in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,clopidogrel,Moderate,Reduced absorption of clopidogrel.,Activated charcoal can adsorb clopidogrel in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,rosuvastatin,Moderate,Reduced absorption of rosuvastatin.,Activated charcoal can adsorb rosuvastatin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,gabapentin,Moderate,Reduced absorption of gabapentin.,Activated charcoal can adsorb gabapentin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,alprazolam,Moderate,Reduced absorption of alprazolam.,Activated charcoal can adsorb alprazolam in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,diazepam,Moderate,Reduced absorption of diazepam.,Activated charcoal can adsorb diazepam in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,sertraline,Moderate,Reduced absorption of sertraline.,Activated charcoal can adsorb sertraline in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,fluoxetine,Moderate,Reduced absorption of fluoxetine.,Activated charcoal can adsorb fluoxetine in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,amitriptyline,Moderate,Reduced absorption of amitriptyline.,Activated charcoal can adsorb amitriptyline in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,tramadol,Moderate,Reduced absorption of tramadol.,Activated charcoal can adsorb tramadol in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,codeine,Moderate,Reduced absorption of codeine.,Activated charcoal can adsorb codeine in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,morphine,Moderate,Reduced absorption of morphine.,Activated charcoal can adsorb morphine in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,phenytoin,Moderate,Reduced absorption of phenytoin.,Activated charcoal can adsorb phenytoin in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,valproate,Moderate,Reduced absorption of valproate.,Activated charcoal can adsorb valproate in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,carbamazepine,Moderate,Reduced absorption of carbamazepine.,Activated charcoal can adsorb carbamazepine in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,lithium,Moderate,Reduced absorption of lithium.,Activated charcoal can adsorb lithium in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,haloperidol,Moderate,Reduced absorption of haloperidol.,Activated charcoal can adsorb haloperidol in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,clozapine,Moderate,Reduced absorption of clozapine.,Activated charcoal can adsorb clozapine in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,olanzapine,Moderate,Reduced absorption of olanzapine.,Activated charcoal can adsorb olanzapine in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,lorazepam,Moderate,Reduced absorption of lorazepam.,Activated charcoal can adsorb lorazepam in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,clonazepam,Moderate,Reduced absorption of clonazepam.,Activated charcoal can adsorb clonazepam in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,midazolam,Moderate,Reduced absorption of midazolam.,Activated charcoal can adsorb midazolam in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
charcoal,zolpidem,Moderate,Reduced absorption of zolpidem.,Activated charcoal can adsorb zolpidem in the gastrointestinal tract.,Separate administration by at least 2 hours.,1,2026-05-13
avtix health,,,,,,1,2026-05-13
proanthocyanidin,,,,,,1,2026-05-13
carbimazole,,,,,,1,2026-05-13
flavoured mentholated base,,,,,,1,2026-05-13
pharma lifescience,,,,,,1,2026-05-13
natamycin,,,,,,1,2026-05-13
triclofos,amitriptyline,Moderate,Increased sedation and anticholinergic effects.,Triclofos may potentiate the CNS depressant effects of amitriptyline.,Monitor for increased sedation and anticholinergic symptoms; consider dose reduction of amitriptyline if necessary.,1,2026-05-13
triclofos,diazepam,Moderate,Increased sedation and respiratory depression.,Triclofos may potentiate the CNS depressant effects of benzodiazepines like diazepam.,Monitor for excessive sedation and respiratory depression; consider dose reduction of diazepam.,1,2026-05-13
triclofos,lorazepam,Moderate,Increased sedation and respiratory depression.,Triclofos may potentiate the CNS depressant effects of benzodiazepines like lorazepam.,Monitor for excessive sedation and respiratory depression; consider dose reduction of lorazepam.,1,2026-05-13
triclofos,midazolam,Moderate,Increased sedation and respiratory depression.,Triclofos may potentiate the CNS depressant effects of benzodiazepines like midazolam.,Monitor for excessive sedation and respiratory depression; consider dose reduction of midazolam.,1,2026-05-13
triclofos,alprazolam,Moderate,Increased sedation and respiratory depression.,Triclofos may potentiate the CNS depressant effects of benzodiazepines like alprazolam.,Monitor for excessive sedation and respiratory depression; consider dose reduction of alprazolam.,1,2026-05-13
triclofos,clonazepam,Moderate,Increased sedation and respiratory depression.,Triclofos may potentiate the CNS depressant effects of benzodiazepines like clonazepam.,Monitor for excessive sedation and respiratory depression; consider dose reduction of clonazepam.,1,2026-05-13
triclofos,zolpidem,Moderate,Increased sedation and impaired cognitive function.,Triclofos may potentiate the CNS depressant effects of zolpidem.,Monitor for increased sedation and cognitive impairment; consider dose reduction of zolpidem.,1,2026-05-13
triclofos,morphine,Moderate,Increased sedation and respiratory depression.,Triclofos may potentiate the CNS depressant effects of opioids like morphine.,Monitor for excessive sedation and respiratory depression; consider dose reduction of morphine.,1,2026-05-13
triclofos,codeine,Moderate,Increased sedation and respiratory depression.,Triclofos may potentiate the CNS depressant effects of opioids like codeine.,Monitor for excessive sedation and respiratory depression; consider dose reduction of codeine.,1,2026-05-13
triclofos,tramadol,Moderate,Increased sedation and dizziness.,Triclofos may potentiate the CNS depressant effects of tramadol.,Monitor for increased sedation and dizziness; consider dose reduction of tramadol.,1,2026-05-13
human,,,,,,1,2026-05-13
calcium polystyrene sulphonate,digoxin,Major,Increased risk of digoxin toxicity due to hypokalemia.,"Calcium polystyrene sulfonate can bind potassium in the gastrointestinal tract, leading to hypokalemia, which sensitizes the myocardium to digoxin.",Monitor serum potassium and digoxin levels closely. Avoid concurrent administration if possible; separate administration by several hours. Monitor for signs of digoxin toxicity.,1,2026-05-13
calcium polystyrene sulphonate,"sorbitol (not in common list, but important)",Major,"Risk of intestinal necrosis, particularly in children.",Concurrent administration of sorbitol with cation-exchange resins can lead to ischemic colitis and intestinal necrosis.,Avoid concurrent administration of sorbitol with calcium polystyrene sulfonate.,1,2026-05-13
dill oil,,,,,,1,2026-05-13
fennel oil,,,,,,1,2026-05-13
oxiconazole,,,,,,1,2026-05-13
diphtheria toxoid,,,,,,1,2026-05-13
papain,,,,,,1,2026-05-13
phenyl mercuric nitrate,,,,,,1,2026-05-13
kojic acid,,,,,,1,2026-05-13
lactobacillus sporogenes,metronidazole,Minor,Reduced efficacy of metronidazole.,"Lactobacillus can inhibit bacterial growth, potentially affecting anaerobic bacteria targeted by metronidazole.",Monitor for treatment failure if used concurrently.,1,2026-05-13
lactobacillus sporogenes,amoxicillin,Minor,Reduced efficacy of amoxicillin.,"Lactobacillus can inhibit bacterial growth, potentially affecting susceptible bacteria targeted by amoxicillin.",Monitor for treatment failure if used concurrently.,1,2026-05-13
lactobacillus sporogenes,azithromycin,Minor,Reduced efficacy of azithromycin.,"Lactobacillus can inhibit bacterial growth, potentially affecting susceptible bacteria targeted by azithromycin.",Monitor for treatment failure if used concurrently.,1,2026-05-13
lactobacillus sporogenes,ciprofloxacin,Minor,Reduced efficacy of ciprofloxacin.,"Lactobacillus can inhibit bacterial growth, potentially affecting susceptible bacteria targeted by ciprofloxacin.",Monitor for treatment failure if used concurrently.,1,2026-05-13
polyvinyl alcohol,,,,,,1,2026-05-13
bambuterol,atenolol,Moderate,Increased risk of bradycardia and conduction disturbances.,"Both drugs can affect cardiac rhythm and conduction; bambuterol is a prodrug of terbutaline which has beta-2 agonist activity, and atenolol is a beta-blocker.",Monitor heart rate and rhythm closely; use with caution.,1,2026-05-13
bambuterol,metoprolol,Moderate,Increased risk of bradycardia and conduction disturbances.,"Both drugs can affect cardiac rhythm and conduction; bambuterol is a prodrug of terbutaline which has beta-2 agonist activity, and metoprolol is a beta-blocker.",Monitor heart rate and rhythm closely; use with caution.,1,2026-05-13
bambuterol,amlodipine,Minor,Potentially additive hypotensive effects or increased risk of peripheral edema.,Bambuterol can cause vasodilation; amlodipine also causes vasodilation.,Monitor blood pressure and for signs of edema.,1,2026-05-13
bambuterol,losartan,Minor,Potentially additive hypotensive effects.,Bambuterol can cause vasodilation and lower blood pressure.,Monitor blood pressure.,1,2026-05-13
bambuterol,ramipril,Minor,Potentially additive hypotensive effects.,Bambuterol can cause vasodilation and lower blood pressure.,Monitor blood pressure.,1,2026-05-13
arbutin,,,,,,1,2026-05-13
mulberry extract,warfarin,Minor,Potential for altered anticoagulant effect.,Some plant extracts can contain compounds that interfere with vitamin K metabolism or affect platelet function.,Monitor INR closely and adjust warfarin dose if necessary.,1,2026-05-13
mulberry extract,aspirin,Minor,Increased risk of bleeding.,Mulberry extract may have mild antiplatelet effects.,Use with caution and monitor for signs of bleeding.,1,2026-05-13
mulberry extract,clopidogrel,Minor,Increased risk of bleeding.,Mulberry extract may have mild antiplatelet effects.,Use with caution and monitor for signs of bleeding.,1,2026-05-13
aloe vera,warfarin,Moderate,Increased risk of bleeding.,Aloe latex can have laxative effects and may contain compounds that interfere with vitamin K absorption or affect coagulation.,"Monitor INR closely and avoid aloe latex preparations. Oral aloe vera gel is generally considered safe, but caution is advised.",1,2026-05-13
aloe vera,digoxin,Minor,Risk of hypokalemia leading to increased digoxin toxicity.,"Aloe latex can cause electrolyte disturbances, particularly hypokalemia, which potentiates digoxin's cardiotoxicity.",Monitor potassium levels and for signs of digoxin toxicity.,1,2026-05-13
aloe vera,furosemide,Minor,Increased risk of hypokalemia.,"Aloe latex has a laxative effect that can contribute to potassium loss, which is also a side effect of furosemide.",Monitor potassium levels.,1,2026-05-13
aloe vera,spironolactone,Minor,Reduced efficacy of spironolactone due to electrolyte shifts.,"Aloe latex can cause electrolyte disturbances, potentially counteracting the effects of spironolactone.",Monitor electrolyte levels.,1,2026-05-13
lysine,,,,,,1,2026-05-13
kiraas pharma,,,,,,1,2026-05-13
sodium cromoglycate,,,,,,1,2026-05-13
alcohol,diazepam,Major,Increased sedation and central nervous system depression.,Synergistic CNS depressant effects.,Advise patient to avoid alcohol or use with extreme caution.,1,2026-05-13
alcohol,alprazolam,Major,Enhanced sedation and respiratory depression.,Potentiated CNS depressant effects.,Advise patient to avoid alcohol or use with extreme caution.,1,2026-05-13
alcohol,lorazepam,Major,Increased drowsiness and impaired coordination.,Additive CNS depressant actions.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,midazolam,Major,"Profound sedation, respiratory depression, and coma.",Additive CNS depressant effects.,Strongly advise patient to avoid alcohol.,1,2026-05-13
alcohol,zolpidem,Major,"Increased drowsiness, dizziness, and impaired judgment.",Synergistic sedative effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,clonazepam,Major,Increased sedation and impaired cognitive function.,Additive CNS depressant effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,metformin,Moderate,Increased risk of lactic acidosis.,Alcohol inhibits lactate metabolism and can cause hypoglycemia.,Advise patient to limit alcohol consumption.,1,2026-05-13
alcohol,warfarin,Moderate,"Variable effects on INR, potentially increasing bleeding risk with chronic use.",Alcohol can affect warfarin metabolism and platelet function.,Monitor INR closely in patients who consume alcohol.,1,2026-05-13
alcohol,paracetamol,Moderate,"Increased risk of hepatotoxicity, especially with chronic heavy alcohol use.",Competition for glucuronidation pathways and potential for glutathione depletion.,"Advise caution with alcohol consumption, especially in chronic users.",1,2026-05-13
alcohol,atorvastatin,Minor,Potential for increased liver enzyme elevations with excessive alcohol intake.,Alcohol can also affect liver function.,Advise moderate alcohol consumption.,1,2026-05-13
alcohol,rosuvastatin,Minor,Increased risk of liver toxicity with heavy alcohol use.,Both can affect liver enzymes.,Advise moderate alcohol consumption.,1,2026-05-13
alcohol,amlodipine,Minor,Increased risk of hypotension and flushing.,Alcohol can cause vasodilation.,Advise caution with alcohol.,1,2026-05-13
alcohol,losartan,Minor,Increased risk of orthostatic hypotension.,Alcohol can cause vasodilation.,Advise caution with alcohol.,1,2026-05-13
alcohol,ramipril,Minor,Increased risk of hypotension.,Alcohol can cause vasodilation.,Advise caution with alcohol.,1,2026-05-13
alcohol,atenolol,Minor,May reduce the antihypertensive effect of atenolol.,Alcohol can cause vasodilation.,Advise moderation.,1,2026-05-13
alcohol,metoprolol,Minor,May reduce the antihypertensive effect of metoprolol.,Alcohol can cause vasodilation.,Advise moderation.,1,2026-05-13
alcohol,furosemide,Minor,Increased risk of dizziness and dehydration.,Both can cause diuresis and hypotension.,Advise caution and hydration.,1,2026-05-13
alcohol,spironolactone,Minor,Increased risk of dizziness and hyperkalemia.,Both can affect fluid balance and potassium levels.,Advise caution and monitor potassium.,1,2026-05-13
alcohol,tramadol,Major,Increased risk of seizures and CNS depression.,Synergistic effects on the CNS.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,codeine,Major,"Increased risk of sedation, respiratory depression, and overdose.",Additive CNS depressant effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,morphine,Major,"Increased risk of profound sedation, respiratory depression, and respiratory arrest.",Additive CNS depressant effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,gabapentin,Moderate,"Increased drowsiness, dizziness, and impaired coordination.",Additive CNS depressant effects.,Advise patient to limit alcohol intake.,1,2026-05-13
alcohol,amitriptyline,Moderate,Increased sedation and anticholinergic effects.,Potentiated CNS depressant and anticholinergic effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,sertraline,Minor,May exacerbate side effects like drowsiness or dizziness.,Alcohol can affect neurotransmitter systems.,Advise caution.,1,2026-05-13
alcohol,fluoxetine,Minor,May increase drowsiness and impair judgment.,Alcohol can interact with serotonin pathways.,Advise caution.,1,2026-05-13
alcohol,diazepam,Major,Increased sedation and central nervous system depression.,Synergistic CNS depressant effects.,Advise patient to avoid alcohol or use with extreme caution.,1,2026-05-13
alcohol,alprazolam,Major,Enhanced sedation and respiratory depression.,Potentiated CNS depressant effects.,Advise patient to avoid alcohol or use with extreme caution.,1,2026-05-13
alcohol,lorazepam,Major,Increased drowsiness and impaired coordination.,Additive CNS depressant actions.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,midazolam,Major,"Profound sedation, respiratory depression, and coma.",Additive CNS depressant effects.,Strongly advise patient to avoid alcohol.,1,2026-05-13
alcohol,zolpidem,Major,"Increased drowsiness, dizziness, and impaired judgment.",Synergistic sedative effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,clonazepam,Major,Increased sedation and impaired cognitive function.,Additive CNS depressant effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,phenytoin,Moderate,"Increased risk of nystagmus, ataxia, and CNS depression.",Alcohol can affect phenytoin metabolism and CNS effects.,Advise patient to limit alcohol intake.,1,2026-05-13
alcohol,valproate,Moderate,Increased sedation and risk of hepatotoxicity.,Additive CNS depressant effects and potential for increased liver strain.,Advise patient to limit alcohol intake.,1,2026-05-13
alcohol,carbamazepine,Moderate,Increased risk of CNS depression and dizziness.,Additive CNS depressant effects.,Advise patient to limit alcohol intake.,1,2026-05-13
alcohol,rifampicin,Moderate,Increased risk of hepatotoxicity.,Both can cause liver strain.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,isoniazid,Moderate,Increased risk of hepatotoxicity.,Both can cause liver strain.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,ethambutol,Minor,Potential for increased ocular toxicity with excessive alcohol.,"Unknown, but caution advised.",Advise moderate alcohol consumption.,1,2026-05-13
alcohol,hydroxychloroquine,Minor,"No significant interaction documented, but general caution with alcohol advised.",N/A,Advise moderate alcohol consumption.,1,2026-05-13
alcohol,colchicine,Moderate,"Increased risk of gastrointestinal upset and myopathy, especially with chronic alcohol use.",Alcohol can exacerbate GI side effects and potentially affect muscle metabolism.,Advise patient to limit alcohol intake.,1,2026-05-13
alcohol,methotrexate,Moderate,Increased risk of hepatotoxicity.,Both can cause liver strain.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,cyclosporine,Moderate,May affect cyclosporine levels and increase nephrotoxicity risk.,Alcohol can influence liver enzyme activity and renal function.,Advise patient to limit alcohol intake and monitor renal function.,1,2026-05-13
alcohol,tacrolimus,Moderate,May affect tacrolimus levels and increase nephrotoxicity risk.,Alcohol can influence liver enzyme activity and renal function.,Advise patient to limit alcohol intake and monitor renal function.,1,2026-05-13
alcohol,lithium,Moderate,May affect lithium levels and increase risk of lithium toxicity.,Alcohol can alter renal excretion of lithium.,Advise patient to limit alcohol intake and monitor lithium levels.,1,2026-05-13
alcohol,haloperidol,Major,"Increased sedation, impaired judgment, and risk of extrapyramidal symptoms.",Additive CNS depressant effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,clozapine,Major,"Increased sedation, orthostatic hypotension, and risk of seizures.",Synergistic CNS depressant and hypotensive effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,olanzapine,Major,"Increased sedation, dizziness, and impaired coordination.",Additive CNS depressant effects.,Advise patient to avoid alcohol.,1,2026-05-13
alcohol,digoxin,Minor,"No direct interaction, but dehydration from alcohol can affect electrolyte balance.",Indirect effect on fluid and electrolyte status.,Advise caution and adequate hydration.,1,2026-05-13
alcohol,insulin,Moderate,Risk of hypoglycemia or hyperglycemia; alcohol can mask symptoms of hypoglycemia.,Alcohol impairs hepatic glucose production and can affect insulin sensitivity.,Advise patient to consume alcohol with food and monitor blood glucose closely.,1,2026-05-13
calamine,,,,,,1,2026-05-13
pertussis toxoid,,,,,,1,2026-05-13
lactobacillus rhamnosus,,,,,,1,2026-05-13
magnesium valproate,valproate,Major,"Increased risk of valproate toxicity, including hepatotoxicity and hyperammonemia.",Magnesium valproate is a salt of valproic acid; co-administration can lead to excessive valproate exposure.,"Avoid concurrent use. If using magnesium valproate, no additional valproate should be given.",1,2026-05-13
magnesium valproate,phenytoin,Moderate,"Reduced protein binding of phenytoin, potentially increasing free phenytoin levels and toxicity.",Valproate displaces phenytoin from protein binding sites.,Monitor phenytoin levels and for signs of toxicity.,1,2026-05-13
magnesium valproate,carbamazepine,Moderate,"Valproate can inhibit the metabolism of carbamazepine, leading to increased carbamazepine levels and toxicity.",Inhibition of CYP enzymes involved in carbamazepine metabolism.,Monitor carbamazepine levels and for signs of toxicity.,1,2026-05-13
magnesium valproate,lamotrigine,Major,"Increased risk of severe rash, including Stevens-Johnson syndrome.",Valproate significantly slows the metabolism of lamotrigine.,"Avoid concurrent use. If unavoidable, initiate lamotrigine at a lower dose and titrate slowly with close monitoring.",1,2026-05-13
magnesium valproate,rifampicin,Minor,"Rifampicin can induce the metabolism of valproate, potentially decreasing its efficacy.",Induction of hepatic enzymes.,Monitor valproate levels and efficacy.,1,2026-05-13
magnesium valproate,isoniazid,Moderate,Increased risk of hepatotoxicity.,Both drugs can be hepatotoxic.,Monitor liver function tests closely.,1,2026-05-13
magnesium valproate,erythromycin,Moderate,"Increased valproate levels, with a risk of toxicity.",Erythromycin inhibits valproate metabolism.,Monitor valproate levels and for signs of toxicity.,1,2026-05-13
magnesium valproate,cyclosporine,Moderate,"Increased cyclosporine levels, with a risk of nephrotoxicity.",Valproate can inhibit the metabolism of cyclosporine.,Monitor cyclosporine levels and renal function.,1,2026-05-13
magnesium valproate,tacrolimus,Moderate,"Increased tacrolimus levels, with a risk of nephrotoxicity.",Valproate can inhibit the metabolism of tacrolimus.,Monitor tacrolimus levels and renal function.,1,2026-05-13
magnesium valproate,clonazepam,Moderate,"Valproate can decrease the clearance of clonazepam, leading to increased levels and sedation.",Inhibition of CYP enzymes involved in clonazepam metabolism.,Monitor for increased sedation.,1,2026-05-13
magnesium valproate,alprazolam,Moderate,"Valproate can decrease the clearance of alprazolam, leading to increased levels and sedation.",Inhibition of CYP enzymes involved in alprazolam metabolism.,Monitor for increased sedation.,1,2026-05-13
magnesium valproate,lorazepam,Minor,No significant interaction documented.,N/A,None generally required.,1,2026-05-13
magnesium valproate,diazepam,Moderate,"Valproate can decrease the clearance of diazepam, leading to increased levels and sedation.",Inhibition of CYP enzymes involved in diazepam metabolism.,Monitor for increased sedation.,1,2026-05-13
magnesium valproate,topiramate,Moderate,"Increased risk of hyperammonemia, with or without encephalopathy.",Both drugs can cause hyperammonemia.,Monitor ammonia levels and for signs of encephalopathy.,1,2026-05-13
magnesium valproate,felbamate,Moderate,Increased risk of hyperammonemia and potential for valproate toxicity.,Felbamate can inhibit valproate metabolism and potentiate hyperammonemia.,Monitor ammonia levels and valproate levels.,1,2026-05-13
magnesium valproate,cholestyramine,Minor,"Cholestyramine can bind to valproic acid, reducing its absorption.",Binding in the gastrointestinal tract.,Separate administration by at least 1-2 hours.,1,2026-05-13
magnesium valproate,nimodipine,Minor,Valproate may interfere with nimodipine's effect.,Unknown.,Monitor blood pressure.,1,2026-05-13
prulifloxacin,,,,,,1,2026-05-13
gamma benzene hexachloride,,,,,,1,2026-05-13
blonanserin,amitriptyline,Moderate,Increased sedation and anticholinergic effects.,Additive CNS depression and anticholinergic activity.,Monitor for increased sedation and anticholinergic symptoms; consider dose adjustment.,1,2026-05-13
blonanserin,diazepam,Moderate,Increased sedation and potentially respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; consider dose reduction.,1,2026-05-13
blonanserin,lorazepam,Moderate,Increased sedation and potentially respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; consider dose reduction.,1,2026-05-13
blonanserin,midazolam,Moderate,Increased sedation and potentially respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; consider dose reduction.,1,2026-05-13
blonanserin,zolpidem,Moderate,Increased sedation and potentially respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; consider dose reduction.,1,2026-05-13
